Story ID,Priority,Phase,Feature Name,User Story,Story Points,Acceptance Criteria Summary,Technical Notes,Dependencies
US-001,P0,MVP - P0,Push Notifications - Charging Status,"As a user charging my vehicle, I want to receive push notifications about my charging session status, so that I can stay informed without keeping the app open",8,"Notifications for: session start, charging complete, unexpected stops, energy & cost summary. Work in background/closed state. Tapping opens app. Settings to enable/disable. Actionable buttons.","Use Capacitor Push Notifications plugin, FCM for Android, APNs for iOS, Backend triggers on OCPP status changes","Backend API for device token registration, OCPP triggers"
US-002,P0,MVP - P0,Push Notifications - Payment & Wallet,"As a user managing my wallet, I want to receive push notifications about wallet transactions, so that I can stay informed about payments and balance",5,"Notifications for: successful recharge, failed recharge, low balance (<₹100), amount deducted. Include amount & balance. Settings to enable/disable.","Reuse push infrastructure from US-001, Backend triggers on Razorpay webhooks and wallet changes","US-001, Backend wallet events"
US-003,P0,MVP - P0,Push Notifications - Station Availability,"As a user searching for stations, I want to receive notifications when nearby stations become available, so that I can quickly find a charger",5,"Set alerts for favorite stations. Notifications when station available. Configurable radius (2km/5km/10km). Include station name, connectors, distance.","Backend monitors charger status changes, User preferences for favorites and radius, Geofencing","US-001, Backend station monitoring"
US-004,P0,MVP - P0,In-App Notification Center,"As a user, I want to view all my past notifications in an in-app notification center, so that I can review missed notifications",5,"Notification list (last 30 days), Timestamp & read/unread status, Tap to navigate, Mark as read, Clear all, Badge with unread count, Pull-to-refresh","Store locally with Capacitor Preferences, Sync with backend API, Auto-clear after 30 days","US-001, US-002, US-003"
US-005,P1,MVP - P1,Offline Mode - View Cached Data,"As a user with intermittent connectivity, I want to view recent sessions and wallet balance offline, so that I can access info without network",8,"Display cached transactions & balance offline, 'Offline Mode' indicator, Last sync timestamp, Outdated data message, Auto-sync on reconnect, Cached station locations","Service worker, Capacitor Preferences or SQLite, Cache last 50 transactions, Network status detection",None
US-006,P1,MVP - P1,Biometric Authentication,"As a returning user, I want to log in using fingerprint or face recognition, so that I can access the app quickly and securely",5,"Enable biometric login in settings (opt-in), Support Face ID/Touch ID (iOS) and fingerprint/face unlock (Android), Prompt after first login, Fallback to Clerk auth","Use Capacitor Biometric Auth plugin, Store encrypted session token securely, Handle availability check",Clerk authentication system
US-007,P1,MVP - P1,Favorite Stations,"As a frequent user, I want to save favorite stations for quick access, so that I can navigate to regular stations easily",3,"Mark stations as favorite, Dedicated favorites section, Real-time availability, Remove from favorites, Sync across devices, Home screen shows top 3, Map highlights favorites, Reorder favorites","Backend API for saving/retrieving, Store user_id + station_id, Local cache for offline",Backend API development
US-008,P1,MVP - P1,Charging Session Scheduling,"As a user planning to charge, I want to schedule a charging session in advance, so that I can reserve a charger",8,"Select station/date/time/duration, Confirmation & reminder (15 min before), View/cancel scheduled sessions, Station shows 'Reserved', 15-min grace period, Notification if unavailable","Backend reservation system, OCPP integration to lock/unlock, Time zone handling, Queue management","Backend reservation API, OCPP commands"
US-009,P1,MVP - P1,In-App Chat Support,"As a user with issues, I want to chat with customer support in the app, so that I can get help quickly",8,"Chat button on all screens, Send text & photos, Real-time responses, Chat history preserved, Push notifications for replies, Agent name & status, Pre-filled context, FAQ before live agent","Integrate chat service (Intercom/Crisp/WebSocket), Backend API for message routing, Store transcripts","US-002 (push notifications)"
US-010,P2,MVP - P2,Referral Program,"As a satisfied user, I want to refer friends and earn wallet credits, so that I can get rewarded",5,"Unique referral code, Share via share sheet, Enter code on signup, Referrer gets ₹100 (after first charge), New user gets ₹50, View referral stats, Push notification on use, Auto-credit to wallet, Terms displayed","Backend tracks referrals, Razorpay/direct wallet credit, Fraud detection (self-referrals, same device)","Backend referral system, US-002"
US-011,P2,MVP - P2,Multi-Language Support,"As a non-English speaking user, I want to use the app in my preferred language, so that I can understand all features",8,"Support: English, Hindi, Tamil, Telugu, Kannada, Marathi. Language selection in settings. Auto-detect device language. All UI translated. Locale formatting. Notifications in user language. Persist & sync. RTL support future.","Use i18next or react-intl, Translation files per language, Backend stores preference, Professional translation service",Backend API for language preference
US-012,P2,MVP - P2,Transaction Export (PDF/CSV),"As a user tracking expenses, I want to export transaction history as PDF or CSV, so that I can maintain records",3,"Export from Sessions screen, Select date range, Choose PDF/CSV format, PDF includes details & branding, CSV includes all fields, Download to device, Share via share sheet","Use react-pdf or pdfmake, JavaScript CSV generation, Capacitor Filesystem, Share API",Sessions data access
US-013,Phase 2,Phase 2,Dynamic Pricing & Time-of-Use,"As a cost-conscious user, I want to see time-based pricing, so that I can charge during off-peak hours and save money",8,"Station shows pricing tiers (peak/off-peak), Current time cost estimate, Different time estimates, 7-day pricing forecast calendar, Notification for off-peak, Time-based breakdown, Auto-schedule off-peak","Backend manages dynamic pricing per station, Frontend calendar widget, Integration with scheduling","Backend pricing rules, US-008"
US-014,Phase 2,Phase 2,Vehicle Integration & Smart Charging,"As a smart EV owner, I want to connect my vehicle to the app, so that the app can automatically manage charging",13,"Connect via OEM API (Tesla, Tata, MG), Display battery & range, Set charging target (80%/100%), Auto-stop at target, Set departure time, Show vehicle location, Low battery alert, Suggest nearby stations","Integration with vehicle APIs, OAuth for authorization, Backend stores tokens securely, OCPP commands based on vehicle data","Backend vehicle API integration, OCPP"
US-015,Phase 2,Phase 2,Carbon Footprint Tracking,"As an environmentally conscious user, I want to see my carbon footprint savings, so that I can understand my environmental impact",5,"Dashboard shows: CO2 saved (kg), Trees planted equivalent, Petrol car km equivalent. Monthly/yearly trends. Compare with community. Share on social media. Badges for milestones.","Calculate: kWh * emission_factor vs petrol. Backend aggregates stats. Social sharing with graphics",Backend analytics system
US-016,Phase 2,Phase 2,Voice Commands & Assistant Integration,"As a driver on the go, I want to use voice commands, so that I can operate the app hands-free",13,"Voice trigger or button. Commands: start/stop charging, find station, check balance, show last session. Voice feedback. Siri & Google Assistant integration. Shortcuts. Hindi & English support.","Capacitor Speech Recognition, Siri Shortcuts, Google Assistant Actions, NLP for parsing","iOS/Android voice APIs"